S.F.	S.D.	S.S.	H.L.	C.A.	C.W.	Ed.	G.E.	I.D.	G.Go.	A.Q.	B.	R.W.R.	C.	R.E.	G.Ga.	O.F.	G.S.	GDP	Em.	P.D.
LBA	10	9.1	9.7	7.3909131804	10	4.939379555	9.27	6	6.4403642108	2.8116470016	4.145864208	1	1	5.4572941462	1	1.8793	1	5	3.4306701475	1	9.9510683917
LIB	10	10	9.8	7.0431154381	10	4.058144522	8.139842	6.083	5.9452054797	3.777890496	2.605627877	1	8.141	4.937017222	1	5.5961	1	5.7236211334	6.7263627231	4.5384479095	1
MAS	10	10	9.6	7.391462307	9.73	5.462812968	7.13	6.525	2.2313016015	5.6416947406	4.148933813	6.8374164572	9.7722	3.7307100208	1	3.4863	1	9.1586653439	6.7370120387	7.2614903707	6.3013456453
MEX	10	9.6	8.5	7.9067982456	6.268	6.142454486	8.090952	6.604	1	4.6009527706	3.261933691	5.9281072712	8.255	4.6557706837	1	6.1501	3.2064439497	8.6376945481	6.5037156301	5.9297680228	7.7950718899
MKD	10	10	8.8	7.7112010796	5.727	5.969461468	7.128961	6.966	3.328710837	4.7889275011	2.042866734	2.4364794787	8.394	5.0249462234	1.4757571584	6.0147	5.5993008281	8.7073488162	5.260015719	1	9.1609500129
MNE	10	9.8	9	7.5292792793	5.826	8.362826977	8.580736	7	7.945336025	5.1263164301	3.383	5.7376210979	9.7459	5.9285196247	3.1806618558	6.6893	1.5903583145	4.0722642092	5.6433269133	3.1663676938	7.5106026313
NAM	8.2	9.3	3.2	5.5348837209	5.406	4.570457038	6.942457	7.177	1	5.606757824	1	7.339199646	9.8309	4.4802944299	1.9741543395	8.5424	1	9.4757277513	4.1275173036	1	9.4548820029
PAN	8.5	9.3	6.9	7.8777041943	6.322	9.223129506	7.83	7.042	1	5.1840858723	4.313604144	5.7458015356	9.96948	3.3040793177	2.2342442591	7.6124	1	8.5659163615	6.3722088137	6.5704681982	8.4643742796
PER	8.4	8.5	7.1	7.8944368445	5.718	8.344258105	8.291533	6.796	1.2003162851	4.522303024	1.38636215	6.540511566	9.899	4.2309796962	2.5168366632	8.5578	2.2333542335	7.7743362016	5.155804348	4.7236655274	9.4635263794
ROU	10	8.8	7.2	7.6044536272	6.064	8.150361007	8.369037	6.812	5.674136688	5.3705637007	2.138986593	3.8768945622	9.6755	4.6364784945	1.6664208832	6.4761	2.8259809411	9.0480578079	5.9245059652	4.8616850357	8.8597116285
RSA	10	9.1	7.9	4.7607843137	6.279	8.417223185	7.99	7.478	1	5.4741248382	1.198703681	3.4391090428	7.504	6.5900523532	1.0674178118	3.062	1	5.9695117272	5.4611120434	1	8.3745979752
SRB	10	9.9	9.2	7.5442779292	5.769	8.362826977	7.851983	7	8.693582354	4.7165622106	3.383	2.9833333394	9.7459	5.606119748	1.3155992721	3.6859	1	4.0722642092	5.3523691605	1	7.1835253367
THA	8.4	9.6	9.6	7.0421768707	4.03	8.266858417	7.19	6.892	4.4043165451	4.3211782942	4.294292041	8.6710679657	8.693	4.9379858266	1.9658199335	6.4056	1	9.2740233489	4.9197767542	9.3426047358	8.0600865835
TKM	9.3	9.1	9.8	5.8617131063	9.757	4.502234549	6.76	6.9	4.4043165451	2.2243775861	1.675205586	1.4931551371	1	4.637023976	1	1	1	9.3813161427	4.3261417976	1	9.6834988393
TUN	10	9.4	8.5	7.7111410602	10	6.301877163	7.8	6.255	4.3171052343	4.6378779587	2.722309479	1	3.872	6.3063444735	1.4172458878	7.9195	3.6051947784	8.5626880214	4.9491624991	1.5107180884	7.9738699077
TUR	10	10	9	7.7573260073	6.482	5.7870108	7.56	5.954	2.8650479686	4.8965040268	3.064571328	1	8.169	5.3907404805	1.1057997914	6.3502	3.2632017916	6.5950240308	6.4803987313	3.720972627	8.3072485759
