
                    Contribuciones de las filas segun el primer cubo en el compromiso

Axis	1	2	3	4	5	6	7
"FRA"	901	0	42	34	0	0	22
"GAB"	670	3	26	106	104	40	50
"GMB"	547	32	64	212	40	20	85
"GEO"	318	84	558	0	0	37	3
"DEU"	901	92	0	3	0	2	0
"GHA"	736	83	100	35	0	0	46
"GRC"	916	42	21	5	5	10	1
"GTM"	422	6	17	419	57	36	43
"GIN"	941	1	0	9	1	5	43
"GNB"	953	39	1	1	5	2	0
"GUY"	319	6	401	243	16	14	1
"HTI"	757	92	52	7	30	37	26
"HND"	122	37	118	406	14	119	184
"HUN"	831	0	0	119	2	27	21
"ISL"	693	3	279	6	1	11	6
"IND"	330	1	45	191	19	30	385
"IDN"	145	91	0	427	0	7	329
"IRN"	64	281	565	62	16	9	2
"IRQ"	54	787	1	131	4	20	2
"IRL"	471	8	465	3	0	49	3
"ISR"	501	5	4	319	2	90	79
"ITA"	955	10	20	12	0	3	0
"JAM"	270	243	372	82	1	2	30
"JPN"	946	18	1	0	7	13	16
"JOR"	134	513	263	34	0	51	4
"KAZ"	488	224	11	190	85	0	1
"KEN"	892	29	18	19	1	4	37
"PRK"	2	87	333	340	39	173	25
"KOR"	950	4	0	21	12	1	11
"KWT"	173	409	296	61	3	48	9
"KGZ"	177	233	345	25	71	4	145
"LAO"	635	35	1	278	20	24	7
"LVA"	611	227	94	39	19	6	3
"LBN"	29	748	57	69	25	59	14
"LSO"	488	421	46	0	9	23	13
"LBR"	842	2	76	26	1	46	7
"LBY"	305	465	13	0	126	83	8
"LTU"	602	195	115	42	28	16	1
"LUX"	691	18	201	1	38	26	25
"MKD"	316	42	480	117	6	29	9
"MDG"	793	6	166	23	6	3	3
"MWI"	824	0	130	17	1	4	24
"MYS"	191	0	1	617	65	2	124
"MLI"	734	10	149	6	0	82	17
"MLT"	380	183	41	279	35	2	81
"MRT"	793	19	116	2	20	47	4
"MUS"	871	0	5	18	40	52	14
"MEX"	39	58	120	724	1	8	51
"MDA"	187	14	342	150	84	147	76
"MNG"	199	21	34	716	18	13	0
"MNE"	591	61	42	157	8	40	101
"MAR"	23	15	351	75	4	484	48
"MOZ"	873	28	68	1	0	0	29
"MMR"	298	0	544	4	43	14	97
"NAM"	421	516	4	8	28	17	8
"NPL"	550	15	41	62	13	0	318
"NLD"	905	40	24	23	0	0	7
"NZL"	780	78	72	25	1	22	22
"NIC"	523	90	254	6	40	52	35
"NER"	832	5	88	2	0	58	16
"NGA"	882	5	21	4	65	17	6
"NOR"	852	17	85	34	1	2	8
"OMN"	287	506	130	7	58	7	5
"PAK"	295	242	8	118	83	43	211
"PAN"	18	184	25	361	92	214	105
"PNG"	797	12	15	40	55	80	1
"PRY"	45	14	262	435	0	57	187
"PER"	33	257	182	207	0	140	180
"PHL"	186	13	70	31	1	583	116
"POL"	834	4	29	72	9	20	32
"PRT"	911	71	10	4	0	1	2
"QAT"	155	388	323	93	27	13	1
"ROU"	222	323	393	12	9	40	1
"RUS"	119	132	660	2	78	2	7
"RWA"	628	23	6	3	96	37	207
"SAU"	136	699	83	59	1	16	6
"SEN"	761	29	109	8	46	41	5
"SRB"	597	38	121	137	6	44	55
"SLE"	848	11	94	43	0	2	0
"SGP"	284	1	188	332	11	111	73
"SVK"	727	17	0	134	1	68	53
"SVN"	774	14	16	135	4	7	50
"ZAF"	48	535	1	160	24	0	231
"ESP"	805	11	97	18	1	65	3
"LKA"	286	7	277	205	113	56	54
"SDN"	728	61	20	0	63	51	77
"SWE"	816	3	71	81	0	3	25
"CHE"	893	32	45	1	17	10	2
"SYR"	10	862	55	42	10	19	1
"TWN"	977	3	3	8	0	7	1
"TJK"	27	523	5	163	27	27	228
"TZA"	832	6	134	24	0	3	1
"THA"	520	1	394	8	39	6	32
"TGO"	909	1	43	7	26	9	7
"TTO"	487	17	266	1	100	84	45
"TUN"	815	21	91	43	8	14	9
"TUR"	506	23	94	321	4	2	50
"TKM"	290	53	217	5	313	122	1
"UGA"	833	3	131	0	5	28	0
"UKR"	554	15	121	226	53	13	18
"ARE"	153	381	335	90	24	18	0
"GBR"	915	48	26	2	7	2	0
"USA"	494	172	1	198	4	16	116
"URY"	485	216	112	113	0	1	72
"UZB"	109	520	286	38	10	0	37
"VEN"	2	8	274	426	0	83	207
"VNM"	83	30	216	226	65	4	376
"YEM"	641	260	79	17	1	2	0
"ZMB"	711	16	9	2	60	24	179
"ZWE"	666	47	183	28	26	1	48
"ALB"	446	16	139	167	3	113	115
"DZA"	66	704	172	41	1	16	0
"AGO"	786	25	57	0	20	0	112
"ARG"	203	69	175	266	19	113	154
"ARM"	465	25	141	229	1	54	84
"AUS"	794	11	149	13	1	25	7
"AUT"	906	20	28	19	4	15	8
"AZE"	48	458	22	229	59	42	141
"BGD"	156	133	15	313	7	100	277
"BLR"	464	52	116	252	76	0	40
"BEL"	915	1	40	35	0	1	9
"BEN"	798	0	156	8	0	1	37
"BTN"	341	1	198	17	2	39	402
"BOL"	392	220	54	55	3	248	27
"BIH"	8	67	84	126	34	15	667
"BWA"	174	301	4	53	250	42	176
"BRA"	60	209	158	415	6	50	101
"BGR"	513	82	263	40	1	72	29
"BFA"	808	2	112	0	31	11	35
"BDI"	400	294	158	37	30	32	49
"KHM"	615	1	6	199	63	32	84
"CMR"	914	38	25	0	2	13	9
"CAN"	899	23	73	0	4	0	0
"CAF"	892	34	37	0	17	8	13
"TCD"	973	8	11	1	3	0	4
"CHL"	323	187	6	332	11	13	130
"CHN"	64	286	535	60	14	0	40
"COL"	5	152	231	296	3	132	182
"COG"	925	0	21	3	8	34	10
"COD"	817	24	29	29	96	3	1
"CRI"	175	106	43	460	44	21	150
"CIV"	713	2	26	89	10	0	160
"HRV"	823	0	62	50	0	42	22
"CUB"	336	69	360	31	99	66	39
"CYP"	785	46	110	7	16	14	22
"CZE"	781	27	17	107	0	24	43
"DNK"	640	245	4	52	3	4	53
"DOM"	1	69	217	244	44	118	307
"ECU"	24	27	188	291	2	233	235
"EGY"	243	653	6	41	0	22	35
"SLV"	1	431	435	75	1	0	57
"EST"	869	42	11	51	1	22	4
"ETH"	744	33	79	127	1	1	15
"FIN"	786	15	78	99	1	1	19
